sisulname,sisuladdr,tel,kind
시립서대문농아인복지관,서울특별시 서대문구 수색로4가길 23,02-3156-6699,장애인지역사회재활시설
승가원행복마을,서울특별시 성북구 개운사2길 13,02-921-6410,장애인거주시설
라온클린패밀리,서울특별시 강동구 고덕로 295-45,02-3427-0876,장애인직업재활시설
용산구립장애인주간보호센터,서울특별시 용산구 한강대로 331,02-701-4282,장애인지역사회재활시설
두레네집공동생활가정,서울특별시 관악구 법원단지길 97-3,02-866-6155,장애인거주시설
중랑구립직업재활센터,서울특별시 중랑구 숙선옹주로9길 55,02-977-8291,장애인직업재활시설
송파인성장애인종합복지관,서울특별시 송파구 마천로61길 26,02-431-8881,장애인지역사회재활시설
사랑의복지관,서울특별시 서초구 강남대로65길 19,070-7727-2520,장애인지역사회재활시설
성북장애인복지관,서울특별시 성북구 화랑로 130,02-915-9200,장애인지역사회재활시설
한빛맹아원,서울특별시 강북구 삼양로73가길 47,02-989-6017,장애인거주시설
하누리주간보호센터,서울특별시 금천구 시흥대로2길 57,02-802-8024,장애인지역사회재활시설
헬렌켈러의집단기거주시설,서울특별시 강북구 삼양로91가길 8,02-980-1791,장애인거주시설
헬렌켈러의집 주간보호,서울특별시 강북구 삼양로80길 7,02-980-1791,장애인지역사회재활시설
다니엘사랑이용센터,서울특별시 서초구 헌릉로468길 21-16,02-525-2536,장애인지역사회재활시설
다니엘의 집 3호,서울특별시 서초구 신반포로43길 23-10,02-525-2536,장애인거주시설
다솜장애인공동생활가정,서울특별시 서대문구 가재울로6길 16,02-303-0867,장애인거주시설
아이티장애인공동생활가정,서울특별시 서대문구 연희로41길 61-0,02-326-0862,장애인거주시설
다솜장애인주간보호센터,서울특별시 서대문구 증가로4길 53,02-372-4120,장애인지역사회재활시설
신목장애인주간보호시설,서울특별시 양천구 신목로 5,02-2643-7221,장애인지역사회재활시설
디딤자리,서울특별시 강북구 덕릉로12길 13,02-987-6009,장애인거주시설
너울자리,서울특별시 강동구 동남로85길 15,02-442-8666,장애인거주시설
보금자리,서울특별시 강동구 동남로85길 15,02-428-8665,장애인거주시설
하늘자리공동생활가정,서울특별시 강동구 동남로85길 15,02-441-3472,장애인거주시설
주바라기 해피홈,서울특별시 도봉구 도봉로169가길 45,02-3492-9135,장애인지역사회재활시설
동천하우스1,서울특별시 노원구 상계10동 노원로 530,02-937-6212,장애인거주시설
해맑음보호작업시설,서울특별시 노원구 동일로 1097,02-949-6739,장애인직업재활시설
강북구수어통역센터,서울특별시 강북구 도봉로 388,02-990-0872,장애인지역사회재활시설
사랑의집 공동생활가정,서울특별시 노원구 동일로193길 8,02-973-1484,장애인거주시설
그루터기공동생활가정,서울특별시 노원구 동일로191가길 26,02-978-7722,장애인거주시설
관악구수어통역센터,서울특별시 관악구 쑥고개로 128,02-865-4466,장애인지역사회재활시설
도봉구수어통역센터,서울특별시 도봉구 마들로13길 153,02-900-2331,장애인지역사회재활시설
동천하우스4,서울특별시 도봉구 도봉로137길 46,02-905-9571,장애인거주시설
동천하우스3,서울특별시 도봉구 시루봉로23길 64 301호,070-8840-8232,장애인거주시설
서울특별시수어통역센터지원본부,서울특별시 서대문구 충정로3가 32-11,02-323-4996,장애인지역사회재활시설
인강원,서울특별시 도봉구 평화로15번길 9-25,02-955-0526,장애인거주시설
가브리엘작업장,서울특별시 노원구 한글비석로24라길 94-13,02-951-9707,장애인직업재활시설
가브리엘주간보호센터,서울특별시 노원구 한글비석로24라길 94-13,02-951-9907,장애인지역사회재활시설
더해봄(종로구립장애인근로사업장),서울특별시 종로구 대학로3길 14,02-745-8708,장애인직업재활시설
발달장애인단기거주시설 동천휴,서울특별시 노원구 노원로18길 41,02-976-0563,장애인거주시설
동천발달장애인주간활동센터,서울특별시 노원구 노원로18길 41,02-976-0563,장애인지역사회재활시설
섬김주간보호센터,서울특별시 노원구 상계동 771,02-2092-1774,장애인지역사회재활시설
북부장애인직업재활시설,서울특별시 노원구 상계동 771,02-2092-1782,장애인직업재활시설
대린직업훈련원,서울특별시 노원구 동일로248길 30,02-939-0607,장애인직업재활시설
위드주간보호센터,서울특별시 은평구 갈현로15길 11-13,02-385-5841,장애인지역사회재활시설
시온공동생활가정,서울특별시 은평구  갈현로15길 24-5 ,070-4244-2046,장애인거주시설
은평공동생활가정,서울특별시 은평구 증산로19길 28-8,070-4130-2046,장애인거주시설
꽃새암,서울특별시 관악구 봉천로13길 29-28,02-872-2843,장애인거주시설
꽃가람,서울특별시 관악구 국회단지21길 13,02-871-2843,장애인거주시설
소망그룹홈,서울특별시 강동구 양재대로91나길 37,02-428-4548,장애인거주시설
동안제일복지센터,서울특별시 송파구 거마로 79,02-3401-4162,장애인직업재활시설
강동그룹홈,서울특별시 강동구 양재대로 1414-8,024424548,장애인거주시설
송파그룹홈,서울특별시 송파구 토성로5길 16-1,02-409-4546,장애인거주시설
동안우리복지센터,서울특별시 강동구 풍성로 146,02-473-0558,장애인직업재활시설
해피죤,서울특별시 강동구 상암로 195,024295200,장애인지역사회재활시설
바오로교실주간보호시설,서울특별시 은평구 증산로5길 7,02-305-5180,장애인지역사회재활시설
바오로교실보호작업장,서울특별시 은평구 증산로5길 7,02-306-5180,장애인직업재활시설
열림일터,서울특별시 강서구 화곡동 958-13,02-2602-3199,장애인직업재활시설
아람마을,서울특별시 노원구 월계로 338-16,02-909-4604,장애인직업재활시설
은평구립직업재활센터,서울특별시 은평구 진흥로 87,02-384-1320,장애인직업재활시설
불광작은예수의집,서울특별시 은평구 연서로37길 21-5,02-355-0877,장애인거주시설
성북구수어통역센터,서울특별시 성북구 아리랑로4길 22,02-922-7892,장애인지역사회재활시설
아이비주간보호시설,서울특별시 강동구 천중로 87,02-474-3825,장애인지역사회재활시설
아이비장애인단기보호시설,서울특별시 강동구 구천면로39길 12,02-474-3823,장애인거주시설
파란마음복지센터,서울특별시 강동구 진황도로 100,02-487-4548,장애인직업재활시설
함께사는세상,서울특별시 관악구 국회단지길 67,02-876-2842,장애인직업재활시설
한벗둥지,서울특별시 마포구 월드컵북로12길 98,02-336-3100,장애인거주시설
서로함께,서울특별시 관악구 남부순환로155길 26-4,028520400,장애인거주시설
사랑샘단기보호소,서울특별시 노원구 중계로 163,02-932-4635,장애인거주시설
하은장애인주간보호시설,서울특별시 양천구 신목로 20,02-2654-0564,장애인지역사회재활시설
기쁨이 싹트는 나무,서울특별시 금천구 시흥대로80길 19-11,02-893-9630,장애인거주시설
참좋은집 장애인공동생활가정,서울특별시 구로구 중앙로5길 62,02-2625-0118,장애인거주시설
신나는 집 장애인공동생활가정,서울특별시 구로구 고척로52라길 19-7,02-2688-8229,장애인거주시설
제4샬롬 장애인공동생활가정,서울특별시 중구 다산로36길 109,02-2253-1664,장애인거주시설
예은장애인주간보호시설,서울특별시 구로구 부일로15길 16,02-2616-4282,장애인지역사회재활시설
예은장애인공동생활가정,서울특별시 양천구 신목로2길 11,02-2646-5403,장애인거주시설
다은장애인공동생활가정,서울특별시 양천구 목동중앙서로9길 20,02-2691-1162,장애인거주시설
강동단기보호시설,서울특별시 강동구 성내로3가길 89,02-428-4548,장애인거주시설
성민장애인주간보호소,서울특별시 노원구 노원로 440,02-3391-4130,장애인지역사회재활시설
라온채,서울특별시 구로구 고척로12길 15-4,02-2619-8223,장애인거주시설
해피워크,서울특별시 성북구 오패산로 21,02-918-9190,장애인직업재활시설
아이티어빌리티센터,서울특별시 강동구 명일로 230,02-470-1374,장애인직업재활시설
기원주간보호센터,서울특별시 은평구 통일로87길 6-19,02-353-1367,장애인지역사회재활시설
한마음 주간보호센터,서울특별시 은평구 연서로17길 47,02-353-4889,장애인지역사회재활시설
하늘꿈터,서울특별시 동대문구 사가정로25길 29,02-969-3927,장애인거주시설
용산구수어통역센터,서울특별시 용산구 서빙고로 245,02-706-8367,장애인지역사회재활시설
시립영등포장애인복지관,서울특별시 영등포구 버드나루로 22,02-3667-0870,장애인지역사회재활시설
다운주간보호센터,서울특별시 노원구 화랑로 478,02-3296-2114,장애인지역사회재활시설
모랫말꿈터,서울특별시 영등포구 도영로 37,02-2181-6120,장애인지역사회재활시설
강동그린나래복지센터,서울특별시 강동구 고덕로 100-5,070-4837-4550,장애인직업재활시설
민들레의집,서울특별시 영등포구 도신로 146-3,02-846-6505,장애인거주시설
햇살터(성프란치스꼬),서울특별시 구로구 남부순환로105라길 25-10,02-830-6500,장애인지역사회재활시설
한마음2호 공동생활가정,서울특별시 송파구 위례성대로8길 46,02-353-4889,장애인거주시설
금천단기보호센터,서울특별시 금천구 시흥대로 182,02-809-9194,장애인거주시설
노원1장애인주간보호센터,서울특별시 노원구 월계로 372,02-949-0700,장애인지역사회재활시설
다사랑공동생활가정,서울특별시 강북구 노해로7길 42-5,02-991-9968,장애인거주시설
다향공동생활가정,서울특별시 강북구 노해로7길 42-5,02-993-2820,장애인거주시설
나자로의집보호작업장,서울특별시 관악구 남부순환로194길 81,02-887-3629,장애인직업재활시설
북부(종합사회복지관)장애인주간보호센터,서울특별시 노원구 동일로245길 56,02-934-7717,장애인지역사회재활시설
실로암장애인근로사업장,서울특별시 관악구 남부순환로 1717,02-880-0581,장애인직업재활시설
중계1호,서울특별시 노원구 노원로19길 31,02-974-0185,장애인거주시설
중계2호,서울특별시 노원구 노원로19길 31,02-973-0183,장애인거주시설
상계(종합사회복지관)장애인주간보호센터,서울특별시 노원구 덕릉로115나길 25,02-951-9930,장애인지역사회재활시설
평화장애인주간활동센터,서울특별시 노원구 노원로 331,02-949-0122,장애인지역사회재활시설
영등포구장애인사랑나눔의집 장애인부모회주간보호소,서울특별시 영등포구 신길로 55,02-848-2902,장애인지역사회재활시설
실로암재활지원센터,서울특별시 관악구 남부순환로 1717,02-880-0500,장애인지역사회재활시설
실로암학습지원센터,서울특별시 관악구 남부순환로 1717,02-880-0500,장애인지역사회재활시설
실로암재가복지봉사센터,서울특별시 관악구 남부순환로 1717,02-880-0500,장애인지역사회재활시설
임마누엘 역촌공동체,서울특별시 은평구 진흥로1길 13,02-352-9802,장애인거주시설
서울남부주간보호센터,서울특별시 동작구 여의대방로20길 33,02-829-7155,장애인지역사회재활시설
남부공동생활가정1호,서울특별시 영등포구 도신로48길 35,02-847-8173,장애인거주시설
남부공동생활가정2호,서울특별시 영등포구 영신로17길 16,02-845-4134,장애인거주시설
한빛장애인주간보호센터,서울특별시 양천구 신월로11길 16,02-2690-8762,장애인지역사회재활시설
관음의 집,서울특별시 금천구 독산로14길 13,02-808-7373,장애인거주시설
지장의 집,서울특별시 금천구 독산로14길 13,02-803-9050,장애인거주시설
노원시각장애인주간보호센터,서울특별시 노원구 상계로23길 42,02-931-0889,장애인지역사회재활시설
원광장애인주간보호시설,서울특별시 중랑구 신내로 56,02-438-2691,장애인지역사회재활시설
보라매주간보호센터,서울특별시 동작구 여의대방로20길 33,02-840-1590,장애인지역사회재활시설
서부장애인종합복지관 주간보호센터,서울특별시 은평구 갈현로11길 30,02-351-3982,장애인지역사회재활시설
정립회관 주간보호시설,서울특별시 광진구 워커힐로 93,02-447-1237,장애인지역사회재활시설
강서구수어통역센터,서울특별시 강서구 발산로 40,02-3665-4474,장애인지역사회재활시설
구로구수어통역센터,서울특별시 구로구 가마산로 272,02-865-1077,장애인지역사회재활시설
삼전주간보호시설,서울특별시 송파구 백제고분로32길 35,02-421-6077,장애인지역사회재활시설
브니엘의 집,서울특별시 구로구 구로중앙로21길 22-1 ,02-837-8513,장애인거주시설
이수경하우스,서울특별시 노원구 덕릉로122길 29,02-3296-2101,장애인거주시설
송파시각장애인축구장,서울특별시 송파구 올림픽로 474,02-2202-8144,장애인지역사회재활시설
송파구장애인운전교육원,서울특별시 송파구 삼학사로2길 49,02-412-2486,장애인지역사회재활시설
임마누엘시흥공동체,서울특별시 금천구 독산로50마길 19-10,02-808-3831,장애인거주시설
